Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Country
F,23,183,76,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,Gold,Germany
M,22,190,81,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Eights,Gold,Germany
F,27,154,63,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze,Russia
F,30,154,63,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold,Russia
F,30,154,63,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold,Russia
F,34,154,63,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver,Russia
F,34,154,63,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze,Russia
F,15,146,42,Romania,ROU,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Silver,Romania
M,21,192,85,Romania,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxless Pairs,Silver,Romania
M,25,192,85,Romania,ROU,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Silver,Romania
M,26,150,51,Romania,ROU,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Flyweight,Silver,Romania
M,22,189,88,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,Bronze,Bulgaria
M,25,175,79,Bulgaria,BUL,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver,Bulgaria
M,29,175,79,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold,Bulgaria
M,24,177,94,Bulgaria,BUL,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold,Bulgaria
M,18,175,65,Russia,RUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Synchronized Springboard,Silver,Russia
M,24,167,57,Russia,RUS,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Platform,Bronze,Russia
M,36,170,74,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Bronze,Poland
F,26,182,70,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,Gold,Ukraine
M,27,185,71,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Men's Olympic Distance,Silver,New Zealand
M,31,185,71,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Men's Olympic Distance,Bronze,New Zealand
F,36,NA,NA,Great Britain,GBR,1908 Summer,1908,Summer,London,Archery,Archery Women's Double National Round,Silver,UK
M,40,NA,NA,Great Britain,GBR,1908 Summer,1908,Summer,London,Archery,Archery Men's Double York Round,Gold,UK
M,38,NA,NA,United States-2,USA,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,USA
M,28,200,98,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Bronze,Australia
M,30,183,120,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Shot Put,Silver,USA
M,NA,NA,NA,Turkey,TUR,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver,Turkey
F,31,158,52,Germany,GER,2004 Summer,2004,Summer,Athina,Trampolining,Trampolining Women's Individual,Gold,Germany
M,NA,NA,66,Turkey,TUR,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,Turkey
M,23,185,75,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Decathlon,Bronze,USA
M,24,178,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Singles,Gold,UK
M,24,178,NA,United States/Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Mixed Doubles,Bronze,UK
M,24,178,NA,Great Britain-1,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,Gold,UK
M,27,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Singles,Bronze,UK
M,35,NA,NA,Great Britain-1,GBR,1908 Summer,1908,Summer,London,Tennis,Tennis Men's Doubles,Gold,UK
M,23,193,NA,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Super-Heavyweight,Bronze,Nigeria
M,22,178,78,Czech Republic,CZE,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold,Czech Republic
M,22,178,78,Czech Republic,CZE,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold,Czech Republic
M,24,169,74,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold,Uzbekistan
