Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Country
M,NA,NA,NA,Turkey,TUR,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver,Turkey
F,20,151,48,Turkey,TUR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Flyweight,Gold,Turkey
M,21,188,84,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
M,29,188,84,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
F,20,167,53,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Women's 80 metres Hurdles,Bronze,Canada
M,22,196,182,United States,USA,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze,USA
M,22,188,81,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Triple Jump,Gold,USA
M,26,188,81,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,Gold,USA
M,21,165,66,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,Silver,UK
M,21,165,66,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Swimming,Swimming Men's One Mile Freestyle,Gold,UK
M,23,165,66,Great Britain,GBR,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,Gold,UK
M,23,165,66,Great Britain,GBR,1908 Summer,1908,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,UK
M,21,NA,NA,United States,USA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Backstroke,Bronze,USA
M,22,183,71,United States,USA,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Middleweight,Bronze,USA
F,26,165,60,Ireland,IRL,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Lightweight,Gold,Ireland
M,26,178,74,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Synchronized Platform,Silver,UK
M,17,167,57,United States,USA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Featherweight,Gold,USA
M,21,185,75,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
M,25,185,75,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,Bronze,USA
M,29,185,75,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,Bronze,USA
M,22,170,53,Australia,AUS,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Bantamweight,Bronze,Australia
M,28,189,70,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Double Sculls,Bronze,New Zealand
M,23,183,80,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,Silver,USA
M,21,190,120,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,Uzbekistan
M,25,190,120,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,Uzbekistan
M,29,190,120,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,Uzbekistan
M,33,190,120,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,Uzbekistan
M,27,188,88,France,FRA,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Middleweight,Silver,France
M,19,180,68,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,Bronze,Turkey
M,23,180,68,Turkey,TUR,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Featherweight,Gold,Turkey
M,25,170,70,Poland,POL,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Middleweight,Bronze,Poland
F,22,177,78,France,FRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Heavyweight,Bronze,France
F,26,177,78,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Heavyweight,Silver,France
M,27,178,84,France,FRA,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Middleweight,Bronze,France
M,24,186,90,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,Russia
M,28,186,90,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,Russia
M,21,167,66,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze,Ukraine
M,29,167,66,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,Ukraine
F,21,NA,NA,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 100 metres Freestyle,Bronze,Hungary
M,23,174,62,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 5,000 metres",Bronze,Kenya
M,23,174,62,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 10,000 metres",Gold,Kenya
F,19,NA,NA,Germany,GER,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 200 metres Breaststroke,Bronze,Germany
M,26,172,71,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,Bronze,Russia
M,19,156,48,China,CHN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,China
M,25,168,60,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze,Kazakhstan
M,28,175,90,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze,Czech Republic
M,21,164,54,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,Russia
M,22,186,78,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,Bronze,Russia
M,26,186,78,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,Bronze,Russia
M,18,NA,NA,Japan,JPN,1936 Summer,1936,Summer,Berlin,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Japan
F,27,173,60,Japan,JPN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Backstroke,Bronze,Japan
M,17,NA,NA,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,Finland
F,26,175,60,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze,Ukraine
F,34,185,63,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 400 metres Hurdles,Bronze,Ukraine
M,27,182,62,Kenya,KEN,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 10,000 metres",Silver,Kenya
M,31,182,62,Kenya,KEN,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 10,000 metres",Silver,Kenya
M,21,NA,69,United States,USA,1932 Summer,1932,Summer,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,Bronze,USA
M,25,NA,69,United States,USA,1936 Summer,1936,Summer,Berlin,Weightlifting,Weightlifting Men's Featherweight,Gold,USA
F,23,NA,NA,Netherlands,NED,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 100 metres Freestyle,Silver,Netherlands
M,23,170,69,France,FRA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Skeet,Bronze,France
M,18,180,100,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,Bronze,UK
M,24,189,100,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,Serbia
M,22,NA,NA,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze,Russia
M,24,177,74,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,Bulgaria
M,30,177,73,Italy,ITA,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver,Italy
M,23,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,USA
F,22,185,68,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,Bronze,USA
M,NA,160,51,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 10,000 metres",Silver,USA
M,24,185,80,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,Gold,Canada
M,24,183,64,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,Silver,USA
M,24,183,64,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,Silver,USA
M,24,183,64,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres,Gold,USA
M,24,183,64,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,Bronze,USA
M,24,183,64,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
M,20,164,52,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,Silver,Germany
M,23,164,52,Germany,GER,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Featherweight,Gold,Germany
M,24,178,82,Greece,GRE,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver,Greece
F,25,165,56,Greece,GRE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,Silver,Greece
M,22,NA,NA,Luxembourg,LUX,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,Gold,Luxembourg
M,18,190,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 100 metres Backstroke,Gold,Australia
M,22,190,NA,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Backstroke,Gold,Australia
F,27,175,64,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,Bronze,Canada
M,22,202,100,Germany,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,Bronze,Germany
M,NA,NA,NA,Greece,GRE,1906 Summer,1906,Summer,Athina,Shooting,"Shooting Men's Military Revolver, 20 metres",Silver,Greece
F,21,184,69,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,Gold,Belgium
M,33,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Archery,"Archery Men's Au Chapelet, 33 metres",Silver,France
M,33,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Archery,"Archery Men's Au Cordon Dore, 33 metres",Silver,France
M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Sabre, Individual",Silver,France
M,69,NA,NA,Austria,AUT,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Plaques",Silver,Austria
M,34,166,64,Germany,GER,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Individual",Bronze,Germany
F,25,168,70,Germany,GER,2012 Summer,2012,Summer,London,Judo,Judo Women's Middleweight,Silver,Germany
M,23,NA,NA,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold,Sweden
F,40,177,68,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold,Canada
M,26,185,84,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,Silver,USA
M,19,NA,NA,Great Britain,GBR,1908 Summer,1908,Summer,London,Boxing,Boxing Men's Bantamweight,Gold,UK
M,21,168,51,France,FRA,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Flyweight,Bronze,France
M,25,168,51,France,FRA,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Flyweight,Silver,France
M,19,196,88,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's High Jump,Bronze,USA
M,23,196,88,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's High Jump,Silver,USA
M,32,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Silver,Germany
F,20,173,64,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Butterfly,Silver,Australia
F,25,173,64,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Butterfly,Bronze,Australia
F,28,173,64,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Butterfly,Gold,Australia
F,28,173,64,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Butterfly,Silver,Australia
M,NA,NA,NA,France-1,FRA,1900 Summer,1900,Summer,Paris,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,Silver,France
M,25,179,83,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold,New Zealand
M,21,196,84,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,USA
M,21,184,92,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,Gold,UK
M,25,184,92,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Gold,UK
M,27,168,55,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 50 kilometres Walk,Gold,UK
F,24,167,57,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,Gold,Jamaica
F,24,167,57,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,Gold,Jamaica
F,19,177,69,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Freestyle,Silver,USA
F,27,177,69,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Freestyle,Bronze,USA
M,24,182,78,Barbados,BAR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,Bronze,Barbados
M,23,188,80,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,Silver,Trinidad
M,27,183,89,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Shot Put,Gold,USA
M,56,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Archery,Archery Men's Double American Round,Bronze,USA
M,56,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Archery,Archery Men's Double York Round,Bronze,USA
M,24,179,77,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,Germany
M,30,183,89,Sweden,SWE,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Heavyweight,Bronze,Sweden
M,53,NA,NA,Great Britain,GBR,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Paintings",Gold,UK
M,31,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver,USA
M,35,NA,NA,United States,USA,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver,USA
M,25,188,86,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 110 metres Hurdles,Gold,Canada
M,26,173,71,Thailand,THA,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Middleweight,Bronze,Thailand
F,25,156,68,Thailand,THA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Heavyweight,Gold,Thailand
M,40,NA,NA,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Sailing,Sailing Mixed One Person Dinghy,Gold,Sweden
M,23,NA,NA,Sweden,SWE,1908 Summer,1908,Summer,London,Figure Skating,Figure Skating Men's Singles,Bronze,Sweden
M,20,171,67,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,Gold,Sweden
M,24,171,67,Sweden,SWE,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,Silver,Sweden
M,22,188,90,Norway,NOR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Javelin Throw,Gold,Norway
M,26,188,90,Norway,NOR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,Gold,Norway
M,17,NA,NA,Univ. of Brussels,GBR,1900 Summer,1900,Summer,Paris,Football,Football Men's Football,Bronze,UK
M,17,196,104,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Freestyle,Silver,Australia
M,17,196,104,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Freestyle,Gold,Australia
M,21,196,104,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,Bronze,Australia
M,21,196,104,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Freestyle,Gold,Australia
M,21,196,104,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,Gold,Australia
M,24,183,86,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Pentathlon,Gold,USA
M,24,183,86,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,Gold,USA
F,19,155,55,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold,USA
F,20,166,57,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 80 metres Hurdles,Bronze,Australia
M,27,NA,NA,Mac Miche,FRA,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 6 metres,Gold,France
M,46,NA,NA,Camille,FRA,1908 Summer,1908,Summer,London,Motorboating,Motorboating Mixed A-Class (Open),Gold,France
M,23,198,118,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,Canada
M,25,158,45,South Africa,RSA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,Gold,South Africa
F,15,174,62,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 400 metres Freestyle,Gold,Germany
F,15,174,62,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 800 metres Freestyle,Gold,Germany
M,19,188,73,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's High Jump,Bronze,USA
F,32,182,67,Switzerland,SUI,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Individual Time Trial,Bronze,Switzerland
F,36,182,67,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Women's Individual Time Trial,Bronze,Switzerland
M,20,180,75,Cote d'Ivoire,CIV,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Silver,Ivory Coast
M,28,183,107,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Hammer Throw,Gold,Finland
F,27,177,68,China-1,CHN,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver,China
M,21,172,60,China,CHN,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Platform,Gold,China
M,24,172,60,China,CHN,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,Bronze,China
M,24,172,60,China,CHN,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Synchronized Platform,Gold,China
F,25,168,63,China-1,CHN,2012 Summer,2012,Summer,London,Badminton,Badminton Women's Doubles,Gold,China
M,22,172,85,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,China
M,21,NA,NA,Ireland,IRL,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Welterweight,Silver,Ireland
M,17,NA,NA,Switzerland,SUI,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze,Switzerland
M,26,178,71,East Germany,GDR,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Middleweight,Bronze,Germany
M,24,172,74,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver,Uzbekistan
M,26,185,96,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Kazakhstan
M,32,186,110,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Hammer Throw,Bronze,Belarus
M,40,186,110,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw,Silver,Belarus
M,22,NA,NA,Norway,NOR,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Middleweight,Silver,Norway
M,23,190,90,United States,USA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,Gold,USA
M,25,194,118,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Shot Put,Gold,Germany
M,28,200,89,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Silver,Belgium
F,16,152,47,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,UK
M,28,186,74,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,Silver,USA
M,21,180,71,France,FRA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Middleweight,Bronze,France
M,23,156,52,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Parallel Bars,Bronze,Germany
M,23,156,52,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Rings,Bronze,Germany
M,25,186,74,Ireland,IRL,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,Gold,Ireland
M,20,167,60,Russia,RUS,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Featherweight,Gold,Russia
M,24,167,60,Russia,RUS,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Lightweight,Gold,Russia
M,25,196,91,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,Gold,Russia
M,23,NA,NA,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Light-Middleweight,Bronze,Russia
M,24,NA,NA,Romania,ROU,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Middleweight,Silver,Romania
M,20,170,70,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,Russia
M,20,170,70,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Horse Vault,Bronze,Russia
M,20,170,70,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Horizontal Bar,Silver,Russia
M,24,170,70,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,Russia
M,24,170,70,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,Silver,Russia
M,28,170,70,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,Silver,Russia
M,30,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Single Sculls,Bronze,USA
M,26,184,80,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,Bronze,Germany
M,25,183,81,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's Sprint,Gold,Czech Republic
F,31,165,74,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Pentathlon,Gold,Russia
M,22,169,62,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Parallel Bars,Gold,Russia
M,22,169,62,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Rings,Silver,Russia
M,23,185,127,Russia,RUS,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Heavyweight,Bronze,Russia
M,27,185,127,Russia,RUS,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Heavyweight,Silver,Russia
M,19,160,60,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Extra-Lightweight,Bronze,Russia
M,21,183,73,United States,USA,1956 Summer,1956,Summer,Melbourne,Diving,Diving Men's Platform,Silver,USA
M,25,183,73,United States,USA,1960 Summer,1960,Summer,Roma,Diving,Diving Men's Springboard,Gold,USA
M,25,183,73,United States,USA,1960 Summer,1960,Summer,Roma,Diving,Diving Men's Platform,Silver,USA
F,27,160,48,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 1,500 metres",Bronze,Ukraine
F,30,178,71,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's Shot Put,Bronze,Russia
M,28,190,78,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold,New Zealand
M,32,190,78,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold,New Zealand
M,44,190,78,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze,New Zealand
M,22,161,48,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Flyweight,Silver,Italy
M,25,166,63,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,Bulgaria
M,23,154,58,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Featherweight,Silver,Bulgaria
M,27,178,60,Bulgaria,BUL,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Featherweight,Silver,Bulgaria
